PropertyAddressFull,AreaLotSF
2884 E THOUSAND OAKS BLVD,9699.0
777 N VALLEY DR,2099.0
1240 S WESTLAKE BLVD STE 127,900.0
300 CALLE JAZMIN,10000.0
575 E THOUSAND OAKS BLVD,7600.0
507 SERENTO CIR,3049.0
1931 SHADY BROOK DR,5560.0
3951 CROSSRIDGE CT,9400.0
130 WHITWORTH ST,13800.0
539 WESTMINSTER ST,11332.0
2084 HILLSBURY RD,35032.0
539 LAUTREC CT,21167.0
1590 SUFFOLK AVE,9200.0
801 PINETREE CIR APT 27,2178.0
1237 KIRKFORD WAY,3049.0
322 W AVENIDA DE LAS FLORES,8950.0
2490 OAKSHORE DR,5500.0
330 AVENIDA DE ROYALE,1777.0
538 FARGO ST,5790.0
1419 OBERLIN AVE,13900.0
1466 OBERLIN AVE,10800.0
756 CALLE PUNTA,10822.0
1155 CALLE CONTENTO,8259.0
4296 FOREST OAKS DR,10654.0
4994 SUMMIT VIEW DR,301435.0
4948 SUMMIT VIEW DR,80586.0
920 LAKEVIEW CANYON RD,206910.0
1181 KELSFORD CT,9792.0
1161 TRIUNFO CANYON RD,6028.0
4872 COYOTE WELLS CIR,6579.0
3243 PIONEER AVE,10480.0
248 OAKLEAF DR APT 203,2613.0
889 SHADOW LAKE DR,2326.0
507 HOLLYBURNE LN,2313.0
3058 SADDLEBACK CT,9628.0
3287 BIG SKY DR,9687.0
3951 VERDE VISTA DR,8222.0
2654 CASTILLO CIR,5394.0
2651 SIRIUS ST,24400.0
2552 TENNYSON CT,11448.0
311 SIESTA AVE,25000.0
2984 CANNA ST,11325.0
2375 GILLINGHAM CIR,7835.0
874 CALLE JAZMIN,16200.0
612 E JANSS RD,43560.0
1345 LA JOLLA DR,24200.0
5593 LITTLE FAWN CT,54015.0
723 MAYWOOD CT,8264.0
1517 DEVONSHIRE AVE,6822.0
107 VENUS ST,11284.0
60 W AVENIDA DE LAS FLORES,8750.0
1534 WAKEFIELD AVE,9654.0
220 ERBES RD,34919.0
1406 CALLE MADRESELVA,38700.0
918 EMERSON ST,13700.0
1387 FALLING STAR AVE,21146.0
4600 E THOUSAND OAKS BLVD,245243.0
1426 OLDBURY PL,6536.0
1326 THORNCROFT CT,8461.0
1718 DRUMCLIFF CT,8875.0
3646 ZENITH AVE,12691.0
475 HELGA CT,6455.0
,2517.0
1806 MILLER RANCH DR,69260.0
436 POLI ST APT 102,1300.0
1187 PITTSFIELD LN,3379.0
1019 DRIFTWOOD LN,3613.0
140 HUENEME AVE,2450.0
1530 UKIAH ST,6164.0
125 N K ST,7014.0
2277 MARTINIQUE LN,1459.0
1259 MANDALAY BEACH RD,1501.0
1445 CASA SAN CARLOS LN,2613.0
121 S B ST # 117,7000.0
759 S OXNARD BLVD,3000.0
2000 DEL REY PL,3908.0
2584 SEXTANT AVE,1742.0
1640 RIVAS LN,6534.0
4501 W CHANNEL ISLANDS BLVD UNIT 50,0.0
4501 W CHANNEL ISLANDS BLVD UNIT 88,0.0
4501 W CHANNEL ISLANDS BLVD UNIT 91,1573.0
4501 W CHANNEL ISLANDS BLVD UNIT 55,0.0
429 WOLFF ST,7257.0
178 W JUNIPER ST,7500.0
3024 N OXNARD BLVD,1816.0
3010 N OXNARD BLVD,2031.0
3012 N OXNARD BLVD,2031.0
1901 S VICTORIA AVE UNIT 111,1291.0
1901 S VICTORIA AVE UNIT 116,909.0
2901 PENINSULA RD APT 134,681.0
2901 PENINSULA RD APT 341,681.0
2901 PENINSULA RD APT 140,681.0
440 PALM DR # A,7137.0
735 INDUSTRIAL WAY,21200.0
4501 W CHANNEL ISLANDS BLVD UNIT 5,1602.0
4501 W CHANNEL ISLANDS BLVD UNIT 6,1440.0
4501 W CHANNEL ISLANDS BLVD UNIT 26,1152.0
4501 W CHANNEL ISLANDS BLVD UNIT 35,1620.0
305 NEWBURY LN,11199.0
1324 RUDOLPH DR,2486.0
2901 PENINSULA RD APT 144,993.0
2901 PENINSULA RD APT 136,681.0
2901 PENINSULA RD APT 137,681.0
2901 PENINSULA RD APT 251,897.0
3014 VENTURA RD,2031.0
3016 VENTURA RD,2139.0
3008 N OXNARD BLVD,2139.0
5968 JUNIPER CT,1823.0
2220 CUTLER ST,6521.0
329 FOX HILLS DR,16706.0
5152 EVANWOOD AVE,6563.0
1551 ELVADO DR,11900.0
2158 CHANDLER ST,3758.0
1309 NEWMAN ST,15402.0
884 BELMONT AVE,4305.0
903 B ST,4696.0
224 S OJAI ST,6982.0
321 E SANTA PAULA ST,8250.0
217 N 7TH ST,8000.0
198 PUESTA DEL SOL,7870.0
323 BUNDREN ST,6250.0
1310 FERN OAKS DR,6103.0
412 N SIGNAL ST,7500.0
180 N DONNA ST,9801.0
478 CENTER LN,6000.0
113 VALLERIO AVE,7700.0
725 UNION PACIFIC ST,5500.0
742 FINE ST,6300.0
660 MAPLE CT,3800.0
1131 ANITA AVE,10545.0
1525 ORWELL LN,3239.0
266 W SANTA BARBARA ST,435.0
258 CORTE LINDA,5933.0
249 CORTE LINDA,4815.0
362 W SANTA BARBARA ST,814.0
1182 MARIANO DR,8000.0
2706 UPTON SINCLAIR DR,2856.0
444 DANA DR,12500.0
501 ARUNDELL CIR,1455.0
153 SURREY WAY,1742.0
3611 GLEN ABBEY LN,9448.0
3362 BROOKWOOD LN,7150.0
321 BLANCHARD AVE,6275.0
309 BLANCHARD AVE,6275.0
1900 EARHART CT,6000.0
1951 PAVIN DR,12613.0
843 ROGER RD,8376.0
164 S STECKEL DR,645.0
347 GUIBERSON ST,4623.0
120 E MAIN ST,39204.0
110 DESCANSO AVE,7700.0
6433 LA CUMBRE RD,43560.0
516 E VIEW DR,12885.0
144 WALDEN ST,6710.0
439 MALLARD ST,7808.0
202 AVON LN,6101.0
533 CITRUS ST,6250.0
918 GRANDVIEW AVE,7206.0
13087 SLEEPY WIND ST,7003.0
14466 DELAWARE DR,10845.0
11106 BROADVIEW DR,9726.0
15297 BITTNER PL,8034.0
7343 ELK RUN WAY,34535.0
7359 ELK RUN WAY,30213.0
14026 SWIFT RUN CT,7506.0
14009 BLACK ROCK CIR,7918.0
14018 BLACK ROCK CIR,8673.0
6817 RIDGEMARK DR,12766.0
7060 OSWEGO CT,3525.0
7053 CROZET AVE,3586.0
3909 BRENNAN RD,52757.0
3719 GROVES PL,166834.0
2811 DUMETZ ST,7582.0
772 HUNT CIR,6124.0
2503 VILLAMONTE CT,1586.0
1221 COE ST,7455.0
803 PASEO TOSAMAR,1029.0
2773 HARTNELL ST,7000.0
2168 SHERBORNE ST,7490.0
2008 KLAMATH DR,9170.0
551 ARROYO DEL MAR,1511.0
1887 LATHAN AVE,7343.0
6105 PASEO ENCANTADA,1365.0
160 GENEIVE ST,6014.0
878 FAIRCHILD AVE,4305.0
2152 BENITO DR,7400.0
478 GRAHAM AVE,7003.0
1868 ABBOTT AVE,6758.0
752 CORTE SOL,5833.0
960 BARTON AVE,7726.0
990 CORTE AUGUSTA,1928.0
97 CALLE ESCALON,10500.0
1758 N LANDEN ST,6600.0
78 RAEMERE ST,7055.0
2560 EXETER CT,8934.0
4918 VIA CUPERTINO,6833.0
1185 AVENIDA DE APRISA,47916.0
1013 SKEEL DR,9450.0
2831 BERWICK ST,6644.0
2266 CALLE BELLOTA,2922.0
2901 LA PLATA DR,2036.0
2880 LA PLATA DR,2036.0
244 BELLAFONTE CT,6551.0
246 BELLAFONTE CT,6020.0
112 APPLETREE AVE,7339.0
4468 VIA MARQUESA,7671.0
5025 ALTA COLINA RD,6566.0
5376 BUENA MESA CT,6994.0
1652 DAPHNE ST,9123.0
2110 LYNDHURST AVE,8778.0
2128 DUNNIGAN ST,9100.0
5044 LAUREL PARK DR,4972.0
3211 BUTTERCUP LN,7595.0
1733 MARCO DR,7000.0
2913 ANTONIO DR UNIT 101,1022.0
1890 EUCLID AVE,8502.0
5382 MEADOWBLUFF CT,6534.0
1707 LOMA DR,7201.0
1678 ANACAPA DR,8846.0
4794 CALLE CANCUN,7020.0
2255 PLACITA SAN RUFINO,4000.0
2023 EUCLID AVE,8750.0
1295 PALMER AVE,8919.0
87 KENNETH ST,6014.0
1894 EDGEMONT DR,8240.0
3175 BUTTERCUP LN,7595.0
225 RIVERDALE CT APT 667,1674.0
4734 LA PUMA CT,7351.0
4508 EL CAPITAN PL,11165.0
693 ARNEILL RD,731.0
534 KELLY AVE,9850.0
421 SPRING PARK RD,3087.0
3076 CANOPY DR,7089.0
5302 PASEO RICOSO,3727.0
5302 VILLA MALLORCA PL,3592.0
2916 AVENIDA DE AUTLAN,7700.0
1693 HERITAGE TRL,7343.0
1287 JAY AVE,11525.0
1907 SABET CT,7600.0
1925 LAKEHURST AVE,6500.0
4725 VIA CUPERTINO,7597.0
50 OAK ST,10350.0
457 LA MARINA DR,60548.0
421 BRISTER PARK CT,6908.0
2690 DUMETZ ST,7060.0
1578 EDGEMONT DR,7965.0
3706 ACALA ST,7135.0
3721 ACALA ST,9302.0
1531 SIERRA MADRE DR,7000.0
341 SPINDLEWOOD CT,10958.0
2031 SAN ONOFRE DR,27500.0
2120 GORMAN ST,8352.0
758 LEONARD ST,7000.0
5521 BUTTERFIELD ST,6818.0
6091 GITANA AVE,4563.0
55 PALM DR,1603.0
6153 SHASTA PL,8320.0
2145 CHANDLER ST,4767.0
1835 LYNDHURST AVE,7398.0
263 CALLE NAVARRO,10200.0
1727 DEWAYNE AVE,6879.0
4754 COLONY DR,4015.0
135 REDDINGTON CT,7490.0
918 SHARON DR,7011.0
1189 BLUE OAK ST,9507.0
5025 GALANO DR,3615.0
2207 VENTURA BLVD,1803.0
903 SKEEL DR,8599.0
1338 HARRIS AVE,8050.0
887 YEARLING CT,8216.0
836 CALLE LOS GATOS,1822.0
574 DEL PRADO DR,2253.0
2519 OBRIEN CIR,12500.0
478 FULTON ST,7193.0
5690 WILLOW VIEW DR,7583.0
1136 SADDLEBACK CIR,12234.0
1505 JOSHUA PL,11483.0
1175 CALLE SUERTE,76666.0
1177 CALLE SUERTE,50530.0
2661 SHALIMAR ST,7000.0
3975 VINCENTE AVE,7200.0
486 ELM COTTAGE CT,9576.0
548 WILLOW GLEN CT,7296.0
3315 BREEZY DR,7857.0
215 WESTPARK CT UNIT 501,1200.0
683 SILVER SAGE CT,3375.0
11354 NARDO ST,4350.0
11208 ASTER ST,4680.0
11427 ASTER ST,3750.0
4132 N VENTURA AVE SPC 55,728.0
3486 N VENTURA AVE,66432.0
6038 FREMONT ST,7249.0
148 UNIVERSITY AVE,7700.0
172 ESTATES AVE,16792.0
1748 HARPER DR,7380.0
1867 ROGUE RIVER CIR,4791.0
5002 LAFAYETTE ST,6900.0
1423 SAN SIMEON CT UNIT 4,871.0
3449 E MAIN ST,16553.0
83 POINSETTIA GARDENS DR,3969.0
60 POINSETTIA GARDENS DR,4142.0
51 POINSETTIA GARDENS DR,3986.0
3913 MONROE ST,6241.0
7322 VAN BUREN ST,8050.0
501 POLI ST,57934.0
1603 ANCHORS WAY DR,1846046.0
VISTA DE VENTURA,21471.0
462 PEAR AVE UNIT 101,1759.0
130 N GARDEN ST UNIT 1411,831.0
11139 SNAPDRAGON ST UNIT 103,1653.0
2051 WOODCUTTER LN,435.0
6584 OAK SPRINGS DR,6180.0
823 GREEN VALLEY DR,6193.0
794 GREEN VALLEY DR,6146.0
3292 WILLOW CANYON ST,7854.0
6145 DEERHILL RD,6444.0
27 E KELLY RD,7000.0
4850 ALIANO DR,5989.0
141 LAKE SHERWOOD DR,15900.0
444 MAIDSTONE LN,1898.0
245 KANAN RD,8125.0
196 SILAS AVE,8728.0
140 VIA KATRINA,1597.0
5425 LIVERPOOL CT,11867.0
3103 DELACODO AVE,6214.0
5805 OAK BEND LN UNIT 301,1104.0
6134 BRYNDALE AVE,7545.0
811 CAYO GRANDE CT,6555.0
4920 BARBADOS CT,3899.0
3854 ABBEY CT,8140.0
238 VIA LARA,7973.0
2763 MICHAEL DR,8019.0
5480 BROMELY DR,12176.0
81 SANDRA CT,7000.0
5766 OAK BANK TRL UNIT 104,1238.0
426 VIA CRESTA,12874.0
4389 PASEO DE LA PAZ,14690.0
6050 SUNNYCREST DR,6683.0
606 ARTISAN RD,871.0
11217 RED BARN RD,45302.0
952 RAVENSBURY ST,19791.0
265 DEERWALK PL,8003.0
5002 PATHFINDER AVE,10508.0
3792 CALLE LINDA VIS,5927.0
158 LYNN OAKS AVE,10234.0
552 KNOLLWOOD DR,5970.0
937 DRIFTWOOD CIR,10109.0
951 DRIFTWOOD CIR,7955.0
6331 SMOKE TREE AVE,6534.0
3012 WAUNETA ST,7540.0
758 GERST DR,7980.0
6505 MAPLEGROVE ST,7720.0
309 REGAL OAK CT,12580.0
463 PESARO ST,4935.0
492 AVENIDA DE LA PLATA,7461.0
6870 OAK SPRINGS DR,5899.0
501 AMERICAN OAKS AVE,7822.0
624 FOWLER AVE,13052.0
4305 VIA CERRITOS,12872.0
2435 ALICE ANN RD,249829.0
1665 CALLE ZAFIRO,6563.0
31 ALBION PL,7000.0
605 VIA NOVELLA,3049.0
21 BIRCHWOOD AVE,7920.0
155 HEATHER RIDGE AVE,3484.0
3377 DANIEL ST,7519.0
6696 SUMMERHILL CT,4588.0
308 PEBBLE BEACH DR,6534.0
991 WOOD RANCH PKWY,8344.0
253 GOLDENWOOD CIR,11154.0
1919 AUTUMNBREEZE PL,6506.0
2453 ANGELA ST,7352.0
1730 MORENO DR,4336.0
964 VALLEJO AVE,3500.0
805 HEMLOCK RIDGE CT,10695.0
5430 BARNARD ST,18368.0
4152 COCHRAN ST,7267.0
4182 COCHRAN ST,8216.0
4145 COCHRAN ST,51400.0
1454 WINDMILL WAY,4675.0
1976 SUNTREE LN # A,1324.0
595 FAIRFIELD RD,1864.0
584 FAIRFIELD RD,1864.0
2545 ORANGEWOOD PL,5076.0
1748 SINALOA RD APT 157,1074.0
1748 SINALOA RD APT 257,1074.0
216 MILL CT,7644.0
2357 LAWNVIEW CT,6942.0
2560 LORETTA CIR,6556.0
2759 GLENCOE AVE,8672.0
3377 WHISPERING GLEN CT,8598.0
1878 STOW ST,871.0
1648 SPENCE ST,8000.0
125 W VIRGINIA TER,7600.0
540 GUIBERSON ST,6750.0
837 SESPE AVE,6001.0
52 GRAPEVINE RD,22080.0
326 BLAINE AVE,7264.0
62 UPPER LAKE RD,14353.0
385 LARMIER AVE,7906.0
977 MORENO DR,10389.0
444 HARDISON ST,6710.0
310 DESCANSO AVE,7590.0
320 DARTMOUTH RD,6850.0
461 FILLMORE ST,6793.0
76 KUNKLE ST,14500.0
318 S CARRILLO RD,9730.0
215 N ENCINAL AVE,6000.0
111 S 4TH ST,6782.0
532 GLADE DR,16122.0
629 N MILL ST,7002.0
207 STANFORD ST,5000.0
3510 AVIARA LN,7445.0
975 W TELEGRAPH RD SPC 5,5551.0
1458 FOOTHILL RD,34400.0
4291 ASPEN LN,43995.0
239 S MONTGOMERY ST,2315.0
1025 BURNHAM RD,21110.0
1290 FOOTHILL RD,20200.0
1015 W EL ROBLAR DR,43996.0
311 SHADY LN,8773.0
514 E ALISO ST,7576.0
10650 ALMOND AVE,13211.0
1351 MAGNOLIA DR,6500.0
1239 MAPLE ST,6750.0
18101 E TELEGRAPH RD,45302.0
18113 E TELEGRAPH RD,26766.0
587 N RICE RD,16500.0
1396 S LA LUNA AVE,16632.0
1148 CAMILLE DR,8000.0
115 S PUEBLO AVE,3750.0
479 W LOMITA AVE,13863.0
122 DESCANSO AVE,7652.0
23 TAORMINA LN,10500.0
215 CHURCH RD,14600.0
403 CANADA ST,7538.0
114 BRISTOL RD,27400.0
410 EL PASEO RD,11250.0
711 DROWN AVE,8318.0
1001 GRANDVIEW AVE,7206.0
483 BURNHAM RD,24002.0
11578 OAKCREST AVE,16658.0
11373 PUESTA DEL SOL,19977.0
7009 HASTINGS ST,11622.0
13008 KNOTTY PINE ST,7286.0
4857 N BUTTERCREEK RD,6800.0
150 E LOS ANGELES AVE UNIT 504,672.0
3802 HIDDEN PINE CT,14801.0
15394 E BENWOOD DR,4467.0
11802 ALDERBROOK ST,5448.0
4044 CLIFFROSE AVE,6900.0
4047 NAPOLI PL,1042.0
15594 MALLORY CT,6946.0
15593 BORGES DR,10424.0
4325 RIVERGLEN ST,4349.0
750 SIERRA AVE,8040.0
13159 WESTPORT ST,20962.0
13116 E MILLERTON RD,4905.0
6438 PENN ST APT B,1742.0
6860 IVY CREEK WAY,1432.0
11912 SILVER CREST ST,7283.0
4391 CLEARWOOD RD,9514.0
15605 HARTE LN,9158.0
4779 ELDERBERRY AVE,3200.0
12685 SPRING CREEK CT,8637.0
13633 LAURELHURST RD,11341.0
4043 WEEPING WILLOW DR,10148.0
4266 LAURELHURST RD,7410.0
11238 TERRACERIDGE RD,8902.0
740 MAGNOLIA ST,10448.0
11538 GENTLEWOOD DR,7291.0
15584 DORIS CT,6550.0
12636 AMBERMEADOW ST,6120.0
12629 WILLIAMS RANCH RD,6243.0
4422 AUTUMNGLEN CT,4557.0
12407 WILLOW FOREST DR,6866.0
12562 SUNNYGLEN DR,7082.0
4196 OAKCLIFF DR,14209.0
12125 ARBOR HILL ST,10932.0
4640 BELLA VISTA DR,10018.0
13002 CAMDEN CT,10148.0
13030 VIEW MESA ST,8885.0
4531 SKIDMORE CT,6427.0
5239 N COMMERCE AVE,50530.0
6793 PECAN AVE,10822.0
4784 ELDERBERRY AVE,3300.0
11520 POPPYGLEN CT,6500.0
4951 HOLLYGLEN CT,6518.0
11348 BROADVIEW DR,7898.0
4587 MCBETH CT,13689.0
11851 PRESILLA RD,360241.0
3143 PORTER LN,6160.0
8143 YUBA CT,9418.0
409 CROCKER AVE,6045.0
1519 RADNOR AVE,6335.0
6374 CONDOR CT,8000.0
1174 ACADIA PL,2178.0
5500 RAINIER ST,10010.0
156 S CATALINA ST,6737.0
191 S CATALINA ST,6138.0
5399 HUBBELL CT,4532.0
150 ARCADE DR,6000.0
9980 LAS CRUCES ST,6210.0
1224 OWENS AVE,6389.0
322 LEIGHTON DR,5334.0
343 HARTE AVE,6180.0
176 N MILLS RD,7080.0
356 DAKOTA DR,7386.0
3121 HARBOR BLVD,1742.0
8807 TIBER ST,7400.0
95 CORONADO ST,6737.0
2174 ELIZABETH DR,7200.0
100 LOYOLA AVE,7000.0
7597 SABLE ST,6038.0
102 W FLINT ST,5975.0
162 BARRY DR,5000.0
7772 REDONDO ST,4061.0
383 WALNUT DR,22211.0
649 THOREAU LN,1012.0
451 BAKER AVE,6045.0
381 BAKER AVE,6045.0
111 BARRY DR,5000.0
4469 VASSAR ST,16423.0
334 CROCKER AVE,6045.0
227 E VINCE ST,6059.0
2255 WILDCAT AVE,6009.0
208 PETIT AVE,6246.0
1638 TAPIR CIR,1527.0
1526 VISTA DEL MAR DR,24633.0
2527 HARBOR BLVD APT 4,2178.0
463 ANACAPA ST,6000.0
1641 ADDAX CIR,1742.0
3074 FLETCHER ST,6800.0
759 COLDBROOK PL,9860.0
3224 WILMOT ST,6500.0
477 PARKVIEW CT,6265.0
3658 YOUNG WOLF DR,5279.0
1178 BALSAMO AVE,8012.0
1256 PATRICIA AVE UNIT 2,2178.0
1749 REGAN CIR,6598.0
1027 CROSBY AVE,7337.0
4230 ROXBURY ST,10495.0
2150 EMMETT AVE,6600.0
1207 ERRINGER RD,10282.0
170 SAWTELLE CT,8395.0
556 FRESH MEADOWS RD,6322.0
2842 FITZGERALD RD,8300.0
2886 HOLLISTER ST,7300.0
1714 CRESTON CT,7336.0
4120 ALAMO ST,40329.0
104 ASHTON CT,16301.0
1043 WALTHAM RD APT B,1222.0
2992 FUENTES LN UNIT B,1640.0
4260 FLORENCE ST,7140.0
4291 GOLDSTONE LN,105658.0
1106 CATLIN ST APT A,1448.0
